# 
# 
# 
Name RA dec g SNR sigma_LB lgM dchi2 lgtau z_ph z_ph_plus z_ph_minus z_sp "z_sp source" W1-W2 lgF Field z_simb r_z_simb z_ozdes z_desi z_best ID comment
J033119.90-275647.94 52.8329 -27.9467 24.1 5.7 6.4 "$9.8 \pm 0.5$" 0.6 "$2.1 \pm 0.5$" 1.14 0.01 0.04 nan None 18.7 -15.26 SN-C3 -1.0 "" -1.0 -1.0 1.14 109 ""
J033151.80-280025.88 52.9658 -28.0072 22.7 17.7 15.4 "$6.8 \pm 0.5$" 0.1 "$2.7 \pm 0.7$" 0.08 0.03 0.01 nan None nan nan SN-C3 2.435 2010ApJS..191..124S -1.0 -1.0 2.435 110 ""
J033206.63-280149.73 53.0276 -28.0305 24.1 8.3 10.3 "$10.1 \pm 0.2$" 1.5 "$2.9 \pm 0.7$" 0.68 0.03 0.04 nan None 0.6 -14.28 SN-C3 -1.0 "" -1.0 -1.0 0.68 111 ""
J033144.15-280500.69 52.934 -28.0835 22.3 12.6 12.1 "$9.7 \pm 0.1$" 5.1 "$2.0 \pm 0.4$" 0.47 0.01 0.02 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.47 112 ""
J033135.43-280315.93 52.8976 -28.0544 22.0 22.3 16.4 "$9.7 \pm 0.4$" -0.0 "$1.9 \pm 0.3$" 1.3 0.10 0.15 nan None 1.6 -14.25 SN-C3 1.348 2010ApJS..191..124S 1.350640058517456 -1.0 1.350640058517456 113 ""
J033141.80-281804.91 52.9242 -28.3014 22.6 15.9 16.0 "$9.5 \pm 0.4$" 0.2 "$1.9 \pm 0.4$" 1.3 0.15 0.20 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.3 114 ""
J033203.75-285245.97 53.0156 -28.8794 21.5 22.2 18.4 "$9.9 \pm 0.6$" 0.0 "$2.4 \pm 0.8$" 0.9 0.25 0.05 0.77 2dF 0.8 nan SN-C3 0.768 2017AJ....153..107T 0.7706400156021118 -1.0 0.7706400156021118 115 ""
J033216.79-284700.89 53.07 -28.7836 22.8 22.9 18.6 "$9.6 \pm 0.5$" 0.0 "$2.8 \pm 0.7$" 1.0 0.02 0.05 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 1.0 116 ""
J032920.48-283124.56 52.3353 -28.5235 22.0 22.6 18.7 "$7.2 \pm 0.2$" 1.2 "$2.6 \pm 0.7$" 0.09 0.01 0.01 nan None 1.3 nan SN-C3 -1.0 "" -1.0 -1.0 0.09 117 ""
J033230.63-284750.44 53.1276 -28.7973 20.1 25.1 19.4 "$10.0 \pm 0.2$" 0.6 "$2.5 \pm 0.7$" 0.9 0.40 0.30 nan None 1.0 nan SN-C3 0.8607 2012MNRAS.426.3334M 0.8616999983787537 -1.0 0.8616999983787537 118 ""
J032949.32-283246.91 52.4555 -28.5464 23.5 9.8 10.3 "$9.4 \pm 0.2$" 1.7 "$2.4 \pm 0.8$" 0.3 0.01 0.01 nan None 18.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.3 119 ""
J033031.79-282845.44 52.6325 -28.4793 23.2 12.5 11.1 "$7.2 \pm 0.4$" 0.3 "$2.8 \pm 0.8$" 0.11 0.01 0.01 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.11 120 ""
J033312.48-281141.28 53.302 -28.1948 22.2 24.3 19.2 "$9.6 \pm 0.6$" 0.1 "$2.2 \pm 0.5$" 0.55 0.40 0.05 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.55 121 ""
J033143.61-282126.57 52.9317 -28.3574 23.7 16.5 15.9 "$10.8 \pm 0.4$" 0.5 "$3.1 \pm 0.6$" 1.25 0.15 0.05 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 1.25 122 ""
J033100.06-282128.78 52.7503 -28.358 21.9 24.6 19.5 "$9.9 \pm 0.3$" 0.0 "$3.0 \pm 0.6$" 1.45 0.20 0.20 1.285 2dF 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.285 123 ""
J033244.19-281028.67 53.1841 -28.1746 20.7 12.9 9.7 "$10.0 \pm 0.2$" 0.7 "$2.0 \pm 0.4$" 1.1 0.10 0.30 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 1.1 124 ""
J033136.45-282356.94 52.9019 -28.3991 22.2 23.0 17.1 "$7.3 \pm 0.5$" 0.1 "$2.0 \pm 0.3$" 0.12 0.03 0.01 nan None 18.3 nan SN-C3 -1.0 "" -1.0 -1.0 0.12 125 ""
J033134.14-281918.91 52.8922 -28.3219 23.8 12.1 12.2 "$7.4 \pm 0.6$" 0.0 "$2.7 \pm 0.7$" 0.24 0.03 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.24 126 ""
J033300.86-282238.33 53.2536 -28.3773 23.2 9.0 13.6 "$9.2 \pm 0.5$" 0.4 "$2.9 \pm 0.9$" 0.37 0.01 0.01 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.37 127 ""
J033322.86-280313.09 53.3453 -28.0536 23.1 21.2 17.5 "$8.4 \pm 0.7$" 0.1 "$2.6 \pm 0.7$" 0.3 0.01 0.02 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 0.3 128 ""
J033205.93-281946.83 53.0247 -28.3297 22.5 20.4 18.0 "$9.9 \pm 0.4$" 0.2 "$2.3 \pm 0.7$" 1.4 0.35 0.10 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.4 129 ""
J033320.02-275912.63 53.3334 -27.9868 21.5 22.1 18.4 "$9.9 \pm 0.4$" 0.0 "$1.8 \pm 0.2$" 0.65 0.40 0.30 0.6833 ACES 0.7 nan SN-C3 0.683 2010ApJS..191..124S -1.0 -1.0 0.683 130 ""
J033318.95-281625.73 53.329 -28.2738 22.8 20.2 17.2 "$8.2 \pm 0.4$" 0.2 "$2.9 \pm 0.8$" 0.22 0.01 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.22 131 ""
J033314.85-275749.25 53.3119 -27.9637 23.9 10.9 11.8 "$7.8 \pm 0.4$" 0.1 "$2.5 \pm 0.8$" 0.37 0.02 0.02 nan None nan nan SN-C3 2.796 2010ApJS..191..124S -1.0 -1.0 2.796 132 ""
J033051.25-281211.96 52.7136 -28.2033 23.0 20.9 16.6 "$10.5 \pm 0.3$" 0.2 "$1.7 \pm 0.2$" 1.05 0.01 0.01 nan None 17.4 nan SN-C3 -1.0 "" -1.0 -1.0 1.05 133 ""
J032909.06-285708.78 52.2877 -28.9524 22.6 15.6 16.4 "$10.2 \pm 0.3$" 0.4 "$2.3 \pm 0.6$" 0.79 0.04 0.05 nan None 0.4 nan SN-C3 -1.0 "" -1.0 -1.0 0.79 134 ""
J033024.19-281340.22 52.6008 -28.2278 23.2 9.9 10.0 "$7.7 \pm 0.6$" 0.1 "$1.7 \pm 0.3$" 0.24 0.03 0.01 nan None nan nan SN-C3 0.705 2023ApJ...950..136Z -1.0 -1.0 0.705 135 ""
J033313.10-284017.98 53.3046 -28.6717 21.7 13.5 14.4 "$11.2 \pm 0.1$" 34.7 "$2.2 \pm 0.6$" 0.9 0.10 0.20 nan None 16.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.9 136 ""
J032936.46-285115.30 52.4019 -28.8543 23.7 15.3 14.8 "$7.5 \pm 0.6$" 0.1 "$2.5 \pm 0.8$" 0.15 0.02 0.02 nan None 18.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.15 137 ""
J033013.29-284602.16 52.5554 -28.7673 23.5 12.8 10.3 "$9.4 \pm 0.7$" 0.2 "$2.1 \pm 0.5$" 0.75 0.02 0.02 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.75 138 ""
J032920.20-284644.42 52.3342 -28.779 23.5 11.4 14.0 "$9.6 \pm 0.4$" 0.3 "$2.0 \pm 0.5$" 1.3 0.10 0.05 nan None 18.3 nan SN-C3 -1.0 "" -1.0 -1.0 1.3 139 ""
J032953.42-285301.41 52.4726 -28.8837 21.7 21.8 16.9 "$7.5 \pm 0.1$" 3.5 "$2.1 \pm 0.3$" 0.11 0.03 0.01 2.0135 2dF 18.0 nan SN-C3 -1.0 "" -1.0 -1.0 2.0135 140 ""
J032937.28-284837.85 52.4053 -28.8105 22.5 22.1 18.0 "$9.4 \pm 0.4$" 0.3 "$2.7 \pm 0.8$" 1.35 0.30 0.05 nan None 18.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.35 141 ""
J032910.74-290319.66 52.2948 -29.0555 23.8 16.2 14.9 "$9.6 \pm 0.6$" 0.1 "$2.7 \pm 0.8$" 1.07 0.01 0.03 nan None 1.3 nan SN-C3 -1.0 "" -1.0 -1.0 1.07 142 ""
J032949.87-290403.79 52.4578 -29.0677 23.3 19.0 16.1 "$10.8 \pm 0.2$" 1.1 "$2.4 \pm 0.6$" 0.93 0.02 0.02 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.93 143 ""
J032852.82-290231.11 52.2201 -29.042 22.8 14.0 11.8 "$8.8 \pm 0.5$" 0.0 "$1.6 \pm 0.3$" 0.97 0.01 0.03 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 0.97 144 ""
J033001.89-283803.26 52.5079 -28.6342 23.7 5.3 11.0 "$9.7 \pm 0.2$" 1.3 "$1.9 \pm 0.3$" 0.4 0.02 0.02 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.4 145 ""
J032843.26-284910.94 52.1802 -28.8197 22.2 15.2 17.0 "$7.5 \pm 0.1$" 3.8 "$3.2 \pm 0.8$" 0.07 0.02 0.03 3.354 2dF nan nan SN-C3 -1.0 "" -1.0 -1.0 3.354 146 ""
J033324.68-284427.74 53.3528 -28.741 20.1 25.6 20.0 "$9.8 \pm 0.5$" -0.0 "$3.0 \pm 0.7$" 0.75 0.30 0.30 nan None 0.9 nan SN-C3 0.7341 2012MNRAS.426.3334M 0.7341200113296509 -1.0 0.7341200113296509 147 ""
J033256.75-284414.98 53.2364 -28.7375 21.9 25.3 19.9 "$10.0 \pm 0.4$" 0.2 "$2.8 \pm 0.7$" 1.4 0.25 0.05 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 1.4 148 ""
J032831.41-285249.82 52.1309 -28.8805 20.8 24.9 19.7 "$10.1 \pm 0.4$" 0.2 "$3.1 \pm 0.6$" 1.2 0.45 0.05 nan None 1.2 nan SN-C3 1.05 2017AJ....153..107T 1.0495500564575195 -1.0 1.0495500564575195 149 ""
J032825.44-285343.09 52.106 -28.8953 23.0 18.2 16.2 "$8.2 \pm 0.1$" 2.4 "$2.3 \pm 0.6$" 0.65 0.20 0.10 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 0.65 150 ""
J032804.67-285129.37 52.0194 -28.8582 22.2 23.9 19.3 "$7.5 \pm 0.5$" 0.2 "$2.8 \pm 0.8$" 0.31 0.01 0.02 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.31 151 ""
J032905.80-284652.83 52.2742 -28.7813 22.9 16.5 14.7 "$7.5 \pm 0.3$" 0.6 "$2.2 \pm 0.3$" 0.13 0.02 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.13 152 ""
J033322.66-284155.23 53.3444 -28.6987 21.7 18.2 15.0 "$9.2 \pm 0.4$" 0.1 "$2.2 \pm 0.4$" 0.35 0.05 0.10 nan None 0.6 nan SN-C3 -1.0 "" 2.3538999557495117 -1.0 2.3538999557495117 153 ""
J033217.12-284420.65 53.0713 -28.7391 22.5 17.6 17.4 "$7.1 \pm 0.3$" 0.6 "$3.2 \pm 0.7$" 0.07 0.02 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.07 154 ""
J033211.42-284324.07 53.0476 -28.7234 22.4 23.8 19.1 "$10.1 \pm 0.4$" 0.2 "$2.8 \pm 0.7$" 1.35 0.05 0.20 1.2369 2dF 0.8 nan SN-C3 1.238 2017AJ....153..107T 1.2360299825668335 -1.0 1.2360299825668335 155 ""
J033232.10-284332.25 53.1338 -28.7256 22.7 22.4 18.3 "$9.4 \pm 0.4$" 0.0 "$2.8 \pm 0.7$" 1.4 0.05 0.05 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.4 156 ""
J033141.12-284127.43 52.9213 -28.691 22.0 24.5 19.6 "$10.2 \pm 0.6$" 0.1 "$2.9 \pm 0.6$" 1.15 0.05 0.30 nan None 17.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.15 157 ""
J033101.74-284137.77 52.7572 -28.6938 23.4 14.9 16.5 "$7.9 \pm 0.7$" 0.1 "$2.4 \pm 0.5$" 0.27 0.03 0.01 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.27 158 ""
J033201.94-284008.09 53.0081 -28.6689 22.2 24.4 19.6 "$10.3 \pm 0.6$" 0.3 "$3.0 \pm 0.6$" 0.9 0.25 0.30 0.9098 2dF 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.9098 159 ""
J033209.59-283913.99 53.04 -28.6539 24.0 6.9 9.6 "$8.1 \pm 0.6$" 0.0 "$2.6 \pm 0.7$" 0.28 0.01 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.28 160 ""
J033144.87-284022.59 52.937 -28.6729 24.1 11.3 11.7 "$9.5 \pm 0.5$" 0.5 "$3.1 \pm 0.7$" 0.73 0.03 0.02 nan None 18.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.73 161 ""
J033112.00-284319.84 52.8 -28.7222 23.7 12.2 11.2 "$9.9 \pm 0.5$" 0.5 "$2.5 \pm 0.9$" 1.13 0.01 0.03 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 1.13 162 ""
J033042.36-284301.26 52.6765 -28.717 23.0 10.5 13.1 "$7.7 \pm 0.3$" 0.7 "$2.9 \pm 0.9$" 0.15 0.03 0.01 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.15 163 ""
J033128.22-285932.84 52.8676 -28.9925 22.2 23.6 19.2 "$9.6 \pm 0.4$" 0.0 "$3.1 \pm 0.5$" 1.4 0.10 0.10 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.4 164 ""
J033139.99-285246.34 52.9166 -28.8795 23.9 7.4 10.2 "$8.4 \pm 0.6$" 0.2 "$2.1 \pm 0.4$" 0.43 0.01 0.02 nan None nan nan SN-C3 -1.0 "" -1.0 -1.0 0.43 165 ""
J033234.79-285644.62 53.145 -28.9457 23.9 11.8 11.0 "$9.4 \pm 0.5$" 0.2 "$2.1 \pm 0.4$" 0.61 0.01 0.05 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.61 166 ""
J033137.70-284808.11 52.9071 -28.8023 21.4 25.1 19.5 "$9.8 \pm 0.6$" 0.1 "$2.5 \pm 0.6$" 0.85 0.15 0.30 nan None 0.9 nan SN-C3 0.862 2017AJ....153..107T 0.8616700172424316 -1.0 0.8616700172424316 167 ""
J033220.04-285343.44 53.0835 -28.8954 21.3 23.7 17.7 "$9.5 \pm 0.5$" 0.0 "$1.8 \pm 0.3$" 1.3 0.45 0.70 1.2694 2dF 1.2 nan SN-C3 1.268 2017AJ....153..107T 1.2678899765014648 -1.0 1.2678899765014648 168 ""
J033139.37-284932.51 52.9141 -28.8257 22.5 13.2 16.0 "$9.7 \pm 0.4$" 0.0 "$2.6 \pm 0.8$" 1.45 0.20 0.10 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.45 169 ""
J033208.98-284456.72 53.0374 -28.7491 22.8 11.8 13.5 "$8.4 \pm 0.1$" 2.2 "$2.8 \pm 0.8$" 0.28 0.03 0.01 nan None nan nan SN-C3 -1.0 "" 3.3682000637054443 -1.0 3.3682000637054443 170 ""
J033253.09-282618.13 53.2212 -28.4384 24.0 7.8 10.5 "$11.0 \pm 0.2$" 3.3 "$3.1 \pm 0.7$" 1.03 0.04 0.05 nan None 0.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.03 171 ""
J033310.00-282754.18 53.2917 -28.465 21.1 23.8 19.0 "$9.7 \pm 0.5$" 0.1 "$1.8 \pm 0.2$" 0.7 0.35 0.35 nan None 0.8 nan SN-C3 -1.0 "" 0.6931099891662598 -1.0 0.6931099891662598 172 ""
J033114.40-282829.70 52.81 -28.4749 21.8 25.1 19.7 "$9.9 \pm 0.5$" 0.0 "$2.5 \pm 0.6$" 0.7 0.15 0.20 nan None 0.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.7 173 ""
J033112.82-282843.29 52.8034 -28.4787 20.9 25.2 19.6 "$10.1 \pm 0.6$" 0.4 "$2.1 \pm 0.5$" 0.9 0.20 0.05 0.8611 2dF 0.7 nan SN-C3 0.042 2023ApJ...950..136Z -1.0 -1.0 0.042 174 ""
J033150.63-282910.86 52.961 -28.4863 23.7 11.6 10.8 "$10.4 \pm 0.3$" 0.4 "$1.2 \pm 0.2$" 1.02 0.02 0.03 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.02 175 ""
J033049.34-283249.85 52.7056 -28.5472 20.2 25.5 19.8 "$10.1 \pm 0.1$" 4.2 "$2.6 \pm 0.7$" 0.3 0.02 0.02 nan None 1.2 nan SN-C3 0.6483 2012MNRAS.426.3334M 0.6487299799919128 -1.0 0.6487299799919128 176 ""
J033123.08-283046.00 52.8462 -28.5128 22.1 18.5 15.8 "$9.3 \pm 0.2$" 6.7 "$2.8 \pm 0.8$" 0.28 0.03 0.03 nan None 0.2 nan SN-C3 -1.0 "" -1.0 -1.0 0.28 177 ""
J033103.48-282756.67 52.7645 -28.4657 22.9 19.3 18.0 "$6.9 \pm 0.6$" 0.0 "$3.5 \pm 0.5$" 0.09 0.02 0.01 nan None 0.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.09 178 ""
J033131.20-282635.03 52.88 -28.4431 23.3 10.7 15.2 "$9.7 \pm 0.6$" 0.1 "$2.6 \pm 0.8$" 1.15 0.10 0.05 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.15 179 ""
J033235.66-290202.14 53.1486 -29.0339 18.8 25.7 20.1 "$10.5 \pm 0.3$" 0.4 "$3.3 \pm 0.5$" 0.85 0.30 0.20 nan None 1.0 nan SN-C3 0.866 2017AJ....153..107T 0.8667700290679932 -1.0 0.8667700290679932 180 ""
J033221.21-283101.60 53.0884 -28.5171 23.8 11.9 13.9 "$10.5 \pm 0.4$" 0.5 "$2.4 \pm 0.8$" 1.09 0.02 0.01 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 1.09 181 ""
J033304.13-283305.28 53.2672 -28.5515 23.0 16.7 15.9 "$8.4 \pm 0.7$" 0.1 "$1.9 \pm 0.2$" 0.26 0.01 0.01 nan None 0.8 nan SN-C3 -1.0 "" -1.0 -1.0 0.26 182 ""
J033318.37-283348.68 53.3265 -28.5635 20.3 24.9 19.3 "$9.0 \pm 0.1$" 3.0 "$2.2 \pm 0.3$" 0.16 0.01 0.01 nan None 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 0.16 183 ""
J033259.63-283456.04 53.2485 -28.5822 20.4 20.8 17.1 "$9.7 \pm 0.5$" 0.0 "$2.3 \pm 0.5$" 0.95 0.25 0.35 nan None 1.1 nan SN-C3 0.9696 2012MNRAS.426.3334M 0.9675300121307373 -1.0 0.9675300121307373 184 ""
J033315.07-283456.56 53.3128 -28.5824 23.3 14.8 13.7 "$7.8 \pm 0.7$" 0.1 "$2.6 \pm 0.9$" 0.25 0.02 0.02 nan None 18.7 nan SN-C3 -1.0 "" -1.0 -1.0 0.25 185 ""
J033247.48-282928.45 53.1978 -28.4912 22.5 22.6 19.1 "$9.9 \pm 0.6$" 0.1 "$3.0 \pm 0.6$" 1.25 0.05 0.10 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.25 186 ""
J033316.73-282859.18 53.3197 -28.4831 22.5 20.3 18.4 "$6.9 \pm 0.6$" -0.0 "$3.3 \pm 0.6$" 0.1 0.03 0.04 nan None 0.4 nan SN-C3 -1.0 "" -1.0 -1.0 0.1 187 ""
J033308.46-282929.97 53.2853 -28.4917 23.7 11.9 12.5 "$9.8 \pm 0.4$" 0.1 "$2.3 \pm 0.7$" 0.89 0.02 0.03 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 0.89 188 ""
J033318.18-283041.77 53.3258 -28.5116 22.1 24.2 18.9 "$10.4 \pm 0.5$" 0.4 "$2.3 \pm 0.6$" 1.05 0.15 0.50 nan None 0.8 nan SN-C3 -1.0 "" 1.01118004322052 -1.0 1.01118004322052 189 ""
J032949.27-284248.90 52.4553 -28.7136 22.4 19.6 17.3 "$7.1 \pm 0.6$" -0.0 "$3.2 \pm 0.7$" 0.13 0.01 0.01 1.9102 2dF 17.7 nan SN-C3 -1.0 "" -1.0 -1.0 1.9102 190 ""
J032925.06-284150.84 52.3544 -28.6975 23.0 17.4 15.5 "$6.5 \pm 0.6$" 0.0 "$2.2 \pm 0.4$" 0.09 0.01 0.01 nan None 17.8 nan SN-C3 -1.0 "" -1.0 -1.0 0.09 191 ""
J032928.15-284156.58 52.3673 -28.6991 19.9 25.5 19.6 "$9.6 \pm 0.6$" -0.0 "$3.1 \pm 0.7$" 0.75 0.40 0.15 nan None 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.75 192 ""
J032858.52-283915.76 52.2438 -28.6544 22.5 6.4 10.1 "$9.9 \pm 0.5$" 0.5 "$2.5 \pm 0.8$" 1.45 0.15 0.10 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.45 193 ""
J032709.99-284312.81 51.7916 -28.7202 23.7 8.9 12.7 "$9.8 \pm 0.0$" 12.1 "$2.8 \pm 0.9$" 0.39 0.02 0.02 nan None 16.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.39 194 ""
J032805.34-283802.65 52.0223 -28.6341 23.2 9.0 13.3 "$9.7 \pm 0.5$" 0.2 "$2.6 \pm 0.9$" 0.73 0.04 0.02 nan None 17.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.73 195 ""
J032815.66-283700.12 52.0652 -28.6167 23.8 7.7 11.3 "$7.8 \pm 0.7$" 0.0 "$2.6 \pm 0.8$" 0.23 0.02 0.01 nan None 18.7 nan SN-C3 -1.0 "" -1.0 -1.0 0.23 196 ""
J032850.08-284439.31 52.2087 -28.7443 21.8 22.6 18.1 "$10.0 \pm 0.4$" 0.2 "$2.5 \pm 0.8$" 1.25 0.20 0.05 nan None 1.1 nan SN-C3 -1.0 "" -1.0 -1.0 1.25 197 ""
J032938.70-270729.18 52.4113 -27.1248 22.2 10.3 5.2 "$10.7 \pm 0.2$" 1.3 "$2.1 \pm 0.7$" 0.75 0.03 0.03 nan None 0.7 nan SN-C3 -1.0 "" -1.0 -1.0 0.75 198 ""
J032844.43-271339.43 52.1851 -27.2276 19.8 6.0 5.3 "$9.5 \pm 0.0$" 14.3 "$2.1 \pm 0.5$" 0.13 0.03 0.02 nan None 0.1 nan SN-C3 -1.0 "" -1.0 -1.0 0.13 199 ""
J032844.78-271553.60 52.1866 -27.2649 19.7 14.5 8.3 "$9.5 \pm 0.0$" 9.0 "$2.6 \pm 0.7$" 0.21 0.18 0.11 nan None 0.4 nan SN-C3 -1.0 "" 0.20146000385284424 -1.0 0.20146000385284424 200 ""
J033045.54-271718.47 52.6897 -27.2885 22.1 9.4 5.1 "$9.4 \pm 0.3$" 0.3 "$0.1 \pm 0.6$" 0.28 0.03 0.01 nan None 17.4 nan SN-C3 -1.0 "" -1.0 -1.0 0.28 201 ""
J033148.12-271737.21 52.9505 -27.2937 20.8 22.5 18.0 "$10.7 \pm 0.3$" 0.3 "$2.5 \pm 0.8$" 0.65 0.35 0.35 nan None 0.9 nan SN-C3 -1.0 "" 0.6073300242424011 -1.0 0.6073300242424011 202 ""
J033107.26-272011.92 52.7803 -27.3366 22.4 23.2 18.3 "$10.3 \pm 0.6$" 0.0 "$2.5 \pm 0.8$" 0.99 0.01 0.01 0.6852 2dF 16.9 nan SN-C3 -1.0 "" 0.6850799918174744 -1.0 0.6850799918174744 203 ""
J033129.06-272336.65 52.8711 -27.3935 21.6 13.9 10.4 "$9.4 \pm 0.3$" 0.4 "$1.2 \pm 0.2$" 0.36 0.02 0.03 0.3456 2dF 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.3456 204 ""
J033154.35-272557.15 52.9765 -27.4325 20.0 16.2 4.0 "$10.1 \pm 0.1$" 5.2 "$-2.8 \pm 0.4$" 0.18 0.10 0.04 0.1794 2dF 0.4 nan SN-C3 -1.0 "" -1.0 -1.0 0.1794 205 ""
J033051.65-272856.18 52.7152 -27.4823 21.0 7.0 8.5 "$11.1 \pm 0.1$" 5.5 "$1.3 \pm 0.2$" 0.58 0.02 0.02 nan None 0.5 nan SN-C3 0.5265 2012MNRAS.426.3334M -1.0 -1.0 0.5265 206 ""
J032843.53-272258.26 52.1814 -27.3829 23.2 5.6 13.2 "$10.1 \pm 0.6$" 0.3 "$3.0 \pm 0.7$" 1.1 0.15 0.05 nan None 22.5 nan SN-C3 -1.0 "" -1.0 -1.0 1.1 207 ""
J032957.00-272545.24 52.4875 -27.4292 22.8 18.4 15.8 "$9.8 \pm 0.4$" 0.2 "$2.6 \pm 0.8$" 1.45 0.20 0.15 nan None 1.2 nan SN-C3 -1.0 "" -1.0 -1.0 1.45 208 ""
J033021.15-272557.91 52.5881 -27.4328 20.0 8.3 3.3 "$9.7 \pm 0.2$" 2.5 "$0.4 \pm 0.5$" 0.18 0.14 0.02 0.2062 2dF 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.2062 209 ""
J033251.92-272236.40 53.2163 -27.3768 21.5 22.3 17.6 "$10.1 \pm 0.4$" 0.4 "$2.7 \pm 0.8$" 1.45 0.25 0.05 1.339 2dF 0.9 nan SN-C3 -1.0 "" -1.0 -1.0 1.339 210 ""
J032933.94-272856.33 52.3914 -27.4823 22.7 8.8 11.0 "$9.9 \pm 0.4$" 0.1 "$2.0 \pm 0.6$" 1.45 0.15 0.10 nan None 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.45 211 ""
J032850.81-273126.69 52.2117 -27.5241 21.0 23.6 18.5 "$10.1 \pm 0.3$" 0.2 "$2.1 \pm 0.5$" 1.45 0.25 0.20 1.4582 2dF 1.0 nan SN-C3 -1.0 "" -1.0 -1.0 1.4582 212 ""
J032912.09-273147.23 52.3004 -27.5298 23.4 9.1 9.5 "$10.7 \pm 0.3$" 0.6 "$2.4 \pm 0.8$" 1.01 0.02 0.03 nan None 0.4 nan SN-C3 -1.0 "" 0.9680200219154358 -1.0 0.9680200219154358 213 ""
J032837.76-273415.55 52.1573 -27.571 21.0 24.3 18.9 "$10.4 \pm 0.6$" 0.3 "$2.4 \pm 0.9$" 1.2 0.10 0.55 1.3805 2dF 0.8 nan SN-C3 -1.0 "" 1.3797099590301514 -1.0 1.3797099590301514 214 ""
J032947.11-280651.04 52.4463 -28.1142 21.2 17.6 17.3 "$11.0 \pm 0.2$" 2.0 "$2.9 \pm 0.8$" 0.73 0.02 0.02 0.5735 2dF 0.5 nan SN-C3 -1.0 "" -1.0 -1.0 0.5735 215 ""
J032947.42-280638.43 52.4476 -28.1107 21.1 12.4 3.5 "$9.8 \pm 0.2$" 0.6 "$-2.5 \pm 0.2$" 0.31 0.03 0.06 0.3473 2dF 0.6 nan SN-C3 -1.0 "" -1.0 -1.0 0.3473 216 ""
